"cohort","sex","age_cat","education_cat","intention_to_vote","choice_of_party","political_orientation","marstat","household","hzcy001a","hzcy002a","hzcy003a","hzcy004a","hzcy005a","hzcy006a","hzcy007a","hzcy008a","hzcy009a","hzcy010a","hzcy011a","hzcy012a","hzcy013a","hzcy014a","hzcy015a","hzcy016a","hzcy018a","hzcy019a","hzcy020a","hzcy021a","hzcy022a","hzcy023a","hzcy024a","hzcy025a","hzcy026a","hzcy027a","hzcy028a","hzcy029a","hzcy030a","hzcy031a","hzcy032a","hzcy033a","hzcy034a","hzcy035a","hzcy036a","hzcy037a","hzcy038a","hzcy039a","hzcy040a","hzcy041a","hzcy042a","hzcy043a","hzcy044a","hzcy045a","hzcy046a","hzcy047a","hzcy048a","hzcy049a","hzcy050a","hzcy051a","hzcy052a","hzcy053a","hzcy054a","hzcy055a","hzcy056a","hzcy057a","hzcy058a","hzcy059a","hzcy060a","hzcy061a","hzcy062a","hzcy063a","hzcy064a","hzcy065a","hzcy066a","hzcy067a","hzcy068a","hzcy069a","hzcy070a","hzcy071a","hzcy072a","hzcy073a","hzcy074a","hzcy075a","hzcy076a","hzcy077a","hzcy078a","hzcy079a","hzcy080a","hzcy081a","hzcy083a","hzcy084a","hzcy085a","hzcy086a","hzcy087a","hzcy088a","hzcy089a","hzcy090a","hzcy091a","hzcy092a","hzcy093a","hzcy095a","hzcy096a","hzcy097a","hzcy098a","hzcy099a","hzza003a","hzzq009a","hzzq023a","hzzp201a","hzzp204a","hzzp207a"
"2","1",7,"1","1",7,4,"1","3",4,5,4,5,4,"1","1","1","0","0","1","1","0","1","0","0","0",5,5,5,5,4,5,5,1,4,2,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,4,3,4,3,3,3,3,3,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","0","0","0","1","0","0",NA,NA,NA,NA,"1",3,4,"31",369,1584481944
"1","2",6,"2","2",98,6,"1","2",5,4,2,4,4,"1","1","0","0","0","1","1","0","1","0","0","0",5,5,5,5,5,5,3,1,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,5,4,4,5,4,5,5,5,4,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,"1",5,5,"31",876,1584890026
"3","1",9,"3","2",4,1,"1","2",4,4,5,3,4,"1","1","0","0","0","1","0","1","1","0","0","0",5,5,5,5,5,5,5,1,5,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,5,5,4,5,4,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","1","1","0","1","0","0",1,1,0,0,"1",4,5,"31",438,1584880584
"1","2",7,"2","2",1,3,"1","2",4,4,3,3,3,"1","1","1","0","0","1","1","0","1","0","0","0",4,4,4,3,4,4,3,1,4,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,5,3,3,4,3,3,3,3,3,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","0","0","0","1","0","0",NA,NA,NA,NA,"1",4,5,"31",394,1584515022
"1","1",8,"2","2",98,5,"1","3",5,5,3,5,5,"1","1","1","0","0","1","1","0","1","0","0","0",5,5,5,5,5,4,4,1,5,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,5,4,3,5,3,4,4,5,4,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","0","1","0","1","1","0","0",NA,NA,NA,NA,"1",2,3,"31",383,1585040245
"1","2",7,"2","2",5,5,"1","2",5,7,4,5,5,"1","1","1","0","0","1","1","0","1","0","0","0",4,4,3,3,5,4,2,1,4,1,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,4,4,4,4,4,3,3,4,5,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","1","0","0","1","0","0",NA,NA,NA,NA,"1",5,5,"31",491,1584466340
"1","2",10,"1","2",1,5,"1","2",6,6,6,6,5,"1","1","0","0","0","1","1","0","1","0","0","0",5,5,5,5,5,5,5,1,5,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,2,3,NA,3,2,NA,5,3,4,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","1","1","0","1","1","0",1,1,0,NA,"1",5,5,"31",503,1584863692
"3","2",3,"3","2",2,5,"2","3",3,6,4,6,3,"1","1","1","0","1","1","1","1","1","0","0","0",5,5,5,5,5,5,NA,1,4,4,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,4,4,4,5,4,4,4,4,4,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,0,0,1,0,0,1,0,0,1,0,"1","0","1","1","0","0","0","0","0","1","0",NA,NA,NA,NA,"1",4,5,"31",549,1584876521
"1","1",4,"2","2",4,4,"1","3",4,NA,2,3,2,"1","1","1","0","0","1","1","0","1","0","0","0",5,5,5,4,5,4,5,1,5,2,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,4,4,5,4,3,4,5,5,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,1,0,0,0,0,0,0,0,0,0,"0","1","0","0","1","0","1","0","1","0","0",1,1,NA,0,"1",4,5,"31",372,1585419950
"1","2",7,"2","2",98,5,"1","3",5,5,4,6,5,"1","1","1","0","0","1","1","0","1","0","0","0",5,5,5,5,5,5,4,1,5,2,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,5,5,5,5,5,5,5,5,5,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","1","0","0","0","0",1,0,0,1,"1",5,5,"31",596,1584461343
"1","2",2,"3","2",5,4,"2","3",4,4,2,4,4,"1","0","0","0","0","1","1","1","1","0","0","0",5,5,4,4,4,4,4,1,5,4,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,5,3,2,3,4,5,3,0,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","1","0","1","0","0","1","0","0",NA,NA,NA,NA,"1",4,4,"31",500,1584537289
"1","1",5,"1","2",2,6,"1","3",5,6,2,5,5,"1","0","0","0","0","1","1","0","1","0","0","0",5,4,5,3,5,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,4,2,2,5,2,1,4,5,5,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",0,0,0,0,0,0,0,0,0,1,0,"1","1","1","1","1","0","0","0","1","0","0",NA,NA,NA,NA,"1",3,4,"31",305,1584462935
"2","2",6,"3","2",6,8,"1","3",3,4,2,2,2,"1","0","1","0","0","1","1","1","1","0","0","0",5,5,5,5,5,4,4,1,4,1,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",0,0,0,0,0,0,0,0,0,0,0,"1","0","0","1","0","0","0","0","1","0","0",NA,NA,NA,NA,"1",4,5,"31",348,1584484398
"2","1",4,"3","1",98,6,"1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"32",NA,1584739292
"1","1",8,"2","2",2,4,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"1","2",7,"2","2",98,8,"1","3",4,4,4,4,4,"1","0","0","0","0","1","1","0","0","0","0","0",3,5,5,3,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,2,5,4,4,5,4,2,4,4,5,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","0","1","0","0",1,1,0,0,"1",5,5,"31",403,1584459723
"1","1",8,"1","2",2,3,"1","2",4,5,5,6,4,"0","1","0","0","0","1","0","0","1","0","0","0",5,5,4,4,4,3,2,1,4,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,5,4,5,4,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","1","0","1","0","0","1","0","0",NA,NA,NA,NA,"1",5,5,"31",822,1584467902
"1","1",4,"3","2",1,5,"3","3",5,6,3,6,6,"1","1","0","0","0","1","1","1","1","0","0","0",3,3,4,3,4,3,4,2,NA,NA,NA,NA,NA,NA,4,3,2,3,1,3,2,2,3,2,4,4,98,3,3,2,1,4,2,3,2,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0","0","0","0","0","0","0","1",0,1,0,0,0,0,0,0,0,0,0,"1","0","0","1","0","1","0","0","1","0","0",NA,NA,NA,NA,"1",3,3,"32",NA,1584558130
"1","1",4,"3","2",5,4,"1","3",3,4,3,1,3,"1","1","1","0","0","1","0","0","1","0","0","0",2,4,5,2,4,4,3,1,4,3,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,4,3,5,4,2,4,5,5,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",0,1,0,1,0,0,0,0,0,0,0,"1","0","1","1","0","0","0","0","0","0","0",NA,NA,NA,NA,"1",5,5,"31",618,1584622930
"1","1",7,"3","2",1,7,"1","3",6,6,4,5,6,"1","1","1","0","0","1","1","1","1","0","0","0",5,5,5,5,5,5,5,1,5,5,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,5,5,4,5,4,4,4,5,4,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","0","0","0","1","0","0",NA,NA,NA,NA,"1",4,4,"31",277,1584617038
"1","2",7,"2","1",98,5,"3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"1","2",8,"2","2",98,5,"2","1",4,5,5,4,3,"1","1","1","0","0","1","1","0","1","0","0","0",5,5,5,5,5,5,3,1,5,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,4,5,5,5,5,5,5,4,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","1","0","1","1","0","0",NA,NA,NA,NA,"1",4,5,"31",520,1585491232
"1","1",6,"3","2",6,7,"1","2",4,5,2,5,4,"1","1","0","1","0","0","0","0","1","0","0","0",5,5,5,4,5,3,2,1,5,4,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,3,4,2,4,4,4,2,5,4,4,4,4,5,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","1","0","1","1","0","0",NA,NA,NA,NA,"1",4,4,"31",388,1584471413
"3","1",10,"1","2",2,9,"1","2",6,6,7,6,6,"1","1","0","0","0","1","0","1","1","0","0","0",4,4,4,4,5,4,4,1,4,NA,2,3,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,5,4,4,5,5,5,5,5,4,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","1","0","0","1","0","0",NA,NA,NA,NA,"1",5,5,"31",438,1584528061
"3","1",4,"3","2",2,7,"1","2",5,5,3,5,5,"0","0","0","0","0","1","1","0","0","0","0","0",2,2,2,2,4,4,3,1,3,4,3,4,4,5,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,1,4,4,5,3,3,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","0","0","1","0","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0","0","1","0","0","1","1","0",NA,NA,NA,NA,"1",4,4,"31",353,1584516908
"1","1",9,"3","2",3,5,"1","2",2,2,2,2,2,"1","1","0","0","0","1","1","0","0","1","0","0",5,4,3,3,4,2,2,1,5,3,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,1,4,3,3,4,3,3,4,2,2,3,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","1","0","0","1","0","0",NA,NA,NA,NA,"1",4,4,"31",1187,1584974189
"3","2",7,"2","2",98,5,"1","3",3,6,3,5,3,"0","0","0","0","0","1","1","0","1","0","0","0",5,5,4,3,4,4,3,1,4,5,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,5,4,5,5,4,4,4,4,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","0","1","0","0","0","0","0",NA,NA,NA,NA,"1",4,4,"31",375,1584521395
"1","1",7,"3","2",6,7,"3","3",5,5,3,5,5,"0","0","0","0","0","1","1","0","1","0","0","0",3,2,3,4,4,4,3,2,NA,NA,NA,NA,NA,NA,3,5,5,4,2,3,5,3,4,1,3,4,5,4,4,2,2,2,2,4,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",0,1,0,0,0,0,0,0,1,0,0,"1","0","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,"1",4,5,"31",546,1584553461
"1","1",7,"3","2",5,4,"2","2",5,5,2,4,4,"1","0","1","0","0","1","0","0","0","0","0","0",4,4,4,3,5,4,3,1,5,1,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,4,2,5,4,4,4,4,4,4,4,4,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","0","1","0","0","0","0","0",NA,NA,NA,NA,"1",4,4,"31",294,1584462865
"1","1",6,"3","2",5,4,"1","3",4,4,3,4,4,"1","1","1","0","0","1","1","0","1","0","0","0",5,5,5,5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,4,NA,3,5,5,5,5,5,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",0,1,0,0,1,0,1,0,0,0,0,"1","0","0","1","0","1","1","0","1","0","0",1,0,0,1,"1",5,5,"31",1505,1584553574
"1","2",2,"3","2",5,3,"2","3",5,5,3,6,5,"1","1","1","0","0","1","0","0","1","0","0","0",5,5,5,5,5,5,5,1,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,5,4,4,5,5,5,5,4,4,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","0","0","0","0","1","0",NA,NA,NA,NA,"1",4,4,"31",309,1584889903
"1","2",7,"2","2",2,5,"1","3",5,5,4,4,3,"1","1","1","0","0","1","0","0","1","0","0","0",4,4,4,4,3,3,3,1,5,5,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,4,4,4,3,3,4,3,4,4,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"1",4,5,"31",288,1584636665
"2","1",4,"3","2",5,3,"2","1",5,6,2,6,4,"1","1","1","0","0","1","1","0","1","0","0","0",5,5,5,4,5,5,4,1,5,2,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,4,4,3,5,5,5,4,5,5,2,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1","0","0","0","1","0","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","1","0","0","0","0","0","0",NA,NA,NA,NA,"1",5,5,"31",207,1584557114
"3","1",5,"3","2",1,8,"2","2",2,2,2,2,2,"1","1","1","0","0","1","1","0","1","0","0","0",5,5,5,5,5,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,4,4,4,4,4,4,4,4,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","0","1","0","0","1","0",1,1,0,0,"1",5,5,"31",595,1584815049
"3","2",7,"3","2",98,5,"1","3",5,6,2,4,4,"1","1","0","0","0","1","0","0","1","0","0","0",5,5,5,5,3,5,5,1,3,2,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,5,4,98,5,5,5,5,5,5,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","0","0","0","1","0","1","0",NA,NA,NA,NA,"1",4,4,"31",737,1584558803
"1","2",2,"3","2",5,4,"2","3",4,5,3,5,4,"1","0","1","0","0","1","1","0","0","0","0","0",4,4,4,2,4,4,2,1,4,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,2,3,3,4,5,3,3,4,4,4,4,4,4,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","0","0","0","1","0","0",NA,NA,NA,NA,"1",4,NA,"31",588,1584458555
"1","1",7,"3","2",4,NA,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"3","2",8,"1","2",98,2,"2","1",3,4,3,3,4,"1","1","1","0","0","1","0","0","1","0","0","0",5,5,5,5,5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,5,4,4,5,5,5,5,5,5,1,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","1","0","1","1","0","0","0",1,1,0,1,"1",5,5,"31",367,1584817449
"1","2",7,"2","2",5,5,"1","3",4,4,4,5,3,"1","1","0","0","0","1","1","0","1","0","0","0",4,4,4,4,4,4,4,2,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,3,3,3,3,4,4,4,5,4,4,5,5,5,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","1","0","1","0","1","0","0",1,1,0,0,"1",4,4,"31",297,1584515177
"3","2",4,"2","1",5,3,"1","3",6,6,2,5,3,"1","1","1","0","0","1","1","0","1","0","0","0",4,4,5,3,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,3,3,4,2,1,1,4,4,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",0,0,0,0,0,0,0,0,0,1,0,"1","0","0","0","0","1","0","1","0","1","0",NA,NA,NA,NA,"1",4,4,"31",402,1584615035
"1","2",8,"2","2",1,4,"1","2",5,5,3,6,5,"1","1","0","0","0","1","1","1","1","1","0","0",5,5,5,5,5,5,5,1,5,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,3,3,3,4,4,4,4,4,4,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","1","1","0","0","0","0",2,0,0,1,"1",4,5,"31",576,1585150114
"1","2",5,"3","2",1,8,"2","2",4,97,2,5,4,"1","1","1","0","0","1","1","1","1","0","0","0",5,5,5,5,5,5,5,1,5,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,4,4,4,4,4,4,4,4,4,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","1","0","1","1","0","1","0","0",2,0,0,0,"1",5,5,"31",417,1584471030
"2","2",8,"1","2",4,3,"4","2",4,4,5,3,3,"1","1","1","0","1","1","0","0","1","0","0","0",5,5,4,3,3,3,2,1,4,3,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,2,4,2,3,5,4,3,4,2,2,3,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","0","1","0","0","0","1","0","0",NA,NA,NA,NA,"1",3,4,"31",328,1585059409
"1","1",7,"2","2",6,5,"1","2",1,1,1,1,1,"1","1","1","0","0","0","1","1","1","1","0","0",5,5,5,5,5,5,5,1,5,3,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,5,4,4,4,4,4,3,3,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","0","1","0","1","0","0","1","1","0",NA,NA,NA,NA,"1",3,4,"31",514,1584736783
"3","1",7,"3","2",5,4,"1","3",7,7,4,5,4,"1","1","1","0","0","1","1","1","1","0","1","0",3,3,3,4,4,4,1,1,5,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3,3,2,3,3,3,3,2,4,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",1,0,0,0,0,1,0,0,0,0,0,"1","0","0","0","0","1","0","0","0","0","0",NA,NA,NA,NA,"1",4,5,"31",469,1584471230
"1","2",6,"2","2",1,5,"1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"1","2",7,"3","1",5,4,"1","2",4,4,3,3,4,"1","1","1","0","0","1","1","1","1","0","0","0",5,5,5,5,5,5,3,1,5,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,4,4,5,5,5,5,5,5,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0","0","0","0","0","0","0","0",NA,NA,NA,NA,"1",4,4,"31",396,1584754207
"1","2",8,"3","2",1,4,"1","2",4,5,3,3,4,"1","1","0","0","0","1","1","0","1","0","0","0",3,3,3,3,4,3,2,1,5,2,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,5,"22",38,1584475139
